id,key,value,type
61388609,source,massgis_import_v0.1_20071008193615,regular
61388612,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61388612,source,massgis_import_v0.1_20071008193615,regular
61388619,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61388619,source,massgis_import_v0.1_20071008193615,regular
61389205,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389205,source,massgis_import_v0.1_20071008193615,regular
61389209,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389209,source,massgis_import_v0.1_20071008193615,regular
61389213,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389213,source,massgis_import_v0.1_20071008193615,regular
61389219,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389219,source,massgis_import_v0.1_20071008193615,regular
61389228,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389228,source,massgis_import_v0.1_20071008193615,regular
61389231,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389231,source,massgis_import_v0.1_20071008193615,regular
61389235,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389235,source,massgis_import_v0.1_20071008193615,regular
61389239,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389239,created_by,JOSM,regular
61389239,source,massgis_import_v0.1_20071008193615,regular
61389245,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389245,created_by,JOSM,regular
61389245,source,massgis_import_v0.1_20071008193615,regular
61389249,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389249,created_by,JOSM,regular
61389249,source,massgis_import_v0.1_20071008193615,regular
61389252,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389252,created_by,JOSM,regular
61389252,source,massgis_import_v0.1_20071008193615,regular
61389257,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389257,created_by,JOSM,regular
61389257,source,massgis_import_v0.1_20071008193615,regular
61389259,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389259,created_by,JOSM,regular
61389259,source,massgis_import_v0.1_20071008193615,regular
61389262,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389262,created_by,JOSM,regular
61389262,source,massgis_import_v0.1_20071008193615,regular
61389265,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389265,created_by,JOSM,regular
61389265,source,massgis_import_v0.1_20071008193615,regular
61389267,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389267,created_by,JOSM,regular
61389267,source,massgis_import_v0.1_20071008193615,regular
61389270,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389270,created_by,JOSM,regular
61389270,source,massgis_import_v0.1_20071008193615,regular
61389274,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389274,created_by,JOSM,regular
61389274,source,massgis_import_v0.1_20071008193615,regular
61389281,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389281,created_by,JOSM,regular
61389281,source,massgis_import_v0.1_20071008193615,regular
61389287,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389287,created_by,JOSM,regular
61389287,source,massgis_import_v0.1_20071008193615,regular
61389293,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389293,created_by,JOSM,regular
61389293,source,massgis_import_v0.1_20071008193615,regular
61389296,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389296,created_by,JOSM,regular
61389296,source,massgis_import_v0.1_20071008193615,regular
61389300,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389300,created_by,JOSM,regular
61389300,source,massgis_import_v0.1_20071008193615,regular
61389305,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389305,created_by,JOSM,regular
61389305,source,massgis_import_v0.1_20071008193615,regular
61389311,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389311,created_by,JOSM,regular
61389311,source,massgis_import_v0.1_20071008193615,regular
61389315,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389315,created_by,JOSM,regular
61389315,source,massgis_import_v0.1_20071008193615,regular
61389320,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389320,created_by,JOSM,regular
61389320,source,massgis_import_v0.1_20071008193615,regular
61389324,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389324,created_by,JOSM,regular
61389324,source,massgis_import_v0.1_20071008193615,regular
61389329,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389329,created_by,JOSM,regular
61389329,source,massgis_import_v0.1_20071008193615,regular
61389333,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389333,created_by,JOSM,regular
61389333,source,massgis_import_v0.1_20071008193615,regular
61389336,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389336,created_by,JOSM,regular
61389336,source,massgis_import_v0.1_20071008193615,regular
61389340,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389340,created_by,JOSM,regular
61389340,source,massgis_import_v0.1_20071008193615,regular
61389346,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389346,created_by,JOSM,regular
61389346,source,massgis_import_v0.1_20071008193615,regular
61389352,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389352,created_by,JOSM,regular
61389352,source,massgis_import_v0.1_20071008193615,regular
61389357,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389357,created_by,JOSM,regular
61389357,source,massgis_import_v0.1_20071008193615,regular
61389364,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389364,created_by,JOSM,regular
61389364,source,massgis_import_v0.1_20071008193615,regular
61389366,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389366,source,massgis_import_v0.1_20071008193615,regular
61389369,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389369,created_by,JOSM,regular
61389369,source,massgis_import_v0.1_20071008193615,regular
61389376,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389376,created_by,JOSM,regular
61389376,source,massgis_import_v0.1_20071008193615,regular
61389383,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389383,source,massgis_import_v0.1_20071008193615,regular
61389384,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389384,source,massgis_import_v0.1_20071008193615,regular
61389391,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389391,source,massgis_import_v0.1_20071008193615,regular
61389400,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389400,source,massgis_import_v0.1_20071008193615,regular
61389407,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389407,source,massgis_import_v0.1_20071008193615,regular
61389413,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389413,source,massgis_import_v0.1_20071008193615,regular
61389417,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389417,source,massgis_import_v0.1_20071008193615,regular
61389421,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389421,source,massgis_import_v0.1_20071008193615,regular
61389428,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389428,source,massgis_import_v0.1_20071008193615,regular
61389468,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389468,source,massgis_import_v0.1_20071008193615,regular
61389471,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389471,source,massgis_import_v0.1_20071008193615,regular
61389473,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389473,source,massgis_import_v0.1_20071008193615,regular
61389479,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389479,created_by,JOSM,regular
61389479,source,massgis_import_v0.1_20071008193615,regular
61389486,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389486,created_by,JOSM,regular
61389486,source,massgis_import_v0.1_20071008193615,regular
61389490,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389490,created_by,JOSM,regular
61389490,source,massgis_import_v0.1_20071008193615,regular
61389495,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389495,source,massgis_import_v0.1_20071008193615,regular
61389498,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389498,source,massgis_import_v0.1_20071008193615,regular
61389499,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389499,source,massgis_import_v0.1_20071008193615,regular
61389503,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389503,source,massgis_import_v0.1_20071008193615,regular
61389505,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389505,source,massgis_import_v0.1_20071008193615,regular
61389514,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389514,source,massgis_import_v0.1_20071008193615,regular
61389572,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389572,source,massgis_import_v0.1_20071008193615,regular
61389587,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389587,source,massgis_import_v0.1_20071008193615,regular
61389611,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389611,source,massgis_import_v0.1_20071008193615,regular
61389622,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389622,source,massgis_import_v0.1_20071008193615,regular
61389686,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61389686,created_by,JOSM,regular
61389686,source,massgis_import_v0.1_20071008193615,regular
61390235,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390235,created_by,JOSM,regular
61390235,source,massgis_import_v0.1_20071008193615,regular
61390239,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390239,created_by,JOSM,regular
61390239,source,massgis_import_v0.1_20071008193615,regular
61390242,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390242,created_by,JOSM,regular
61390242,source,massgis_import_v0.1_20071008193615,regular
61390246,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390246,created_by,JOSM,regular
61390246,source,massgis_import_v0.1_20071008193615,regular
61390370,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390370,created_by,JOSM,regular
61390370,source,massgis_import_v0.1_20071008193615,regular
61390372,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390372,created_by,JOSM,regular
61390372,source,massgis_import_v0.1_20071008193615,regular
61390377,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390377,created_by,JOSM,regular
61390377,source,massgis_import_v0.1_20071008193615,regular
61390381,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390381,created_by,JOSM,regular
61390381,source,massgis_import_v0.1_20071008193615,regular
61390387,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390387,created_by,JOSM,regular
61390387,source,massgis_import_v0.1_20071008193615,regular
61390391,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390391,created_by,JOSM,regular
61390391,source,massgis_import_v0.1_20071008193615,regular
61390397,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390397,created_by,JOSM,regular
61390397,source,massgis_import_v0.1_20071008193615,regular
61390401,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390401,created_by,JOSM,regular
61390401,source,massgis_import_v0.1_20071008193615,regular
61390406,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390406,created_by,JOSM,regular
61390406,source,massgis_import_v0.1_20071008193615,regular
61390410,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390410,created_by,JOSM,regular
61390410,source,massgis_import_v0.1_20071008193615,regular
61390415,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390415,created_by,JOSM,regular
61390415,source,massgis_import_v0.1_20071008193615,regular
61390421,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390421,created_by,JOSM,regular
61390421,source,massgis_import_v0.1_20071008193615,regular
61390425,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390425,created_by,JOSM,regular
61390425,source,massgis_import_v0.1_20071008193615,regular
61390430,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390430,created_by,JOSM,regular
61390430,source,massgis_import_v0.1_20071008193615,regular
61390434,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390434,created_by,JOSM,regular
61390434,source,massgis_import_v0.1_20071008193615,regular
61390439,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390439,created_by,JOSM,regular
61390439,source,massgis_import_v0.1_20071008193615,regular
61390473,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390473,created_by,JOSM,regular
61390473,source,massgis_import_v0.1_20071008193615,regular
61390487,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390487,created_by,JOSM,regular
61390487,source,massgis_import_v0.1_20071008193615,regular
61390498,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390498,created_by,JOSM,regular
61390498,source,massgis_import_v0.1_20071008193615,regular
61390501,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390501,source,massgis_import_v0.1_20071008193615,regular
61390505,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390505,created_by,JOSM,regular
61390505,source,massgis_import_v0.1_20071008193615,regular
61390509,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390509,created_by,JOSM,regular
61390509,source,massgis_import_v0.1_20071008193615,regular
61390526,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390526,created_by,JOSM,regular
61390526,source,massgis_import_v0.1_20071008193615,regular
61390553,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390553,created_by,JOSM,regular
61390553,source,massgis_import_v0.1_20071008193615,regular
61390558,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390558,created_by,JOSM,regular
61390558,source,massgis_import_v0.1_20071008193615,regular
61390570,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390570,created_by,JOSM,regular
61390570,source,massgis_import_v0.1_20071008193615,regular
61390572,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390572,created_by,JOSM,regular
61390572,source,massgis_import_v0.1_20071008193615,regular
61390575,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390575,created_by,JOSM,regular
61390575,source,massgis_import_v0.1_20071008193615,regular
61390580,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390580,created_by,JOSM,regular
61390580,source,massgis_import_v0.1_20071008193615,regular
61390583,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390583,created_by,JOSM,regular
61390583,source,massgis_import_v0.1_20071008193615,regular
61390589,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390589,source,massgis_import_v0.1_20071008193615,regular
61390606,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390606,source,massgis_import_v0.1_20071008193615,regular
61390620,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390620,source,massgis_import_v0.1_20071008193615,regular
61390624,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390624,created_by,JOSM,regular
61390624,source,massgis_import_v0.1_20071008193615,regular
61390630,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390630,source,massgis_import_v0.1_20071008193615,regular
61390634,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390634,source,massgis_import_v0.1_20071008193615,regular
61390637,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390637,source,massgis_import_v0.1_20071008193615,regular
61390653,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61390653,source,massgis_import_v0.1_20071008193615,regular
61391257,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61391257,source,massgis_import_v0.1_20071008193615,regular
61391282,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61391282,source,massgis_import_v0.1_20071008193615,regular
61392113,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392113,source,massgis_import_v0.1_20071008193615,regular
61392133,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392133,source,massgis_import_v0.1_20071008193615,regular
61392146,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392146,source,massgis_import_v0.1_20071008193615,regular
61392148,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392148,source,massgis_import_v0.1_20071008193615,regular
61392152,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392152,source,massgis_import_v0.1_20071008193615,regular
61392165,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392165,source,massgis_import_v0.1_20071008193615,regular
61392168,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392168,source,massgis_import_v0.1_20071008193615,regular
61392174,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392174,source,massgis_import_v0.1_20071008193615,regular
61392628,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61392628,source,massgis_import_v0.1_20071008193615,regular
61394710,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61394710,source,massgis_import_v0.1_20071008193615,regular
61394776,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61394776,source,massgis_import_v0.1_20071008193615,regular
61394937,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61394937,created_by,JOSM,regular
61394937,source,massgis_import_v0.1_20071008193615,regular
61394942,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61394942,source,massgis_import_v0.1_20071008193615,regular
61395161,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395161,created_by,JOSM,regular
61395161,source,massgis_import_v0.1_20071008193615,regular
61395205,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395205,source,massgis_import_v0.1_20071008193615,regular
61395213,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395213,source,massgis_import_v0.1_20071008193615,regular
61395219,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395219,source,massgis_import_v0.1_20071008193615,regular
61395222,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395222,source,massgis_import_v0.1_20071008193615,regular
61395229,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395229,source,massgis_import_v0.1_20071008193615,regular
61395235,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395235,source,massgis_import_v0.1_20071008193615,regular
61395418,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395418,created_by,JOSM,regular
61395418,source,massgis_import_v0.1_20071008193615,regular
61395422,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395422,created_by,JOSM,regular
61395422,source,massgis_import_v0.1_20071008193615,regular
61395425,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395425,created_by,JOSM,regular
61395425,source,massgis_import_v0.1_20071008193615,regular
61395429,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395429,created_by,JOSM,regular
61395429,source,massgis_import_v0.1_20071008193615,regular
61395433,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395433,created_by,JOSM,regular
61395433,source,massgis_import_v0.1_20071008193615,regular
61395436,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395436,created_by,JOSM,regular
61395436,source,massgis_import_v0.1_20071008193615,regular
61395441,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395441,created_by,JOSM,regular
61395441,source,massgis_import_v0.1_20071008193615,regular
61395447,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395447,source,massgis_import_v0.1_20071008193615,regular
61395451,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395451,source,massgis_import_v0.1_20071008193615,regular
61395454,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395454,source,massgis_import_v0.1_20071008193615,regular
61395457,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395457,source,massgis_import_v0.1_20071008193615,regular
61395462,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395462,source,massgis_import_v0.1_20071008193615,regular
61395468,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395468,source,massgis_import_v0.1_20071008193615,regular
61395470,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395470,source,massgis_import_v0.1_20071008193615,regular
61395476,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395476,created_by,JOSM,regular
61395476,source,massgis_import_v0.1_20071008193615,regular
61395481,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395481,source,massgis_import_v0.1_20071008193615,regular
61395484,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61395484,highway,traffic_signals,regular
61395484,source,massgis_import_v0.1_20071008193615,regular
